SalesID,OrderID,SalesPersonID,SaleDate,CommissionRate
1,1457,49,2024-10-16,0.012609330825085342
2,1017,45,2024-06-28,0.0724346166829858
3,294,5,2024-05-14,0.03159072610899187
4,739,16,2024-11-20,0.05570486975155085
5,1279,7,2024-09-02,0.056977795797904254
6,704,24,2024-10-24,0.02279174809945108
7,1331,21,2025-01-12,0.034061332040819035
8,538,43,2024-09-11,0.09543561928230171
9,2,12,2024-06-20,0.04418728402942508
10,518,36,2025-03-11,0.019121244359806163
11,1279,39,2025-03-25,0.036019803622047396
12,1236,30,2024-09-09,0.09969290278410498
13,743,8,2024-07-11,0.07840493033379417
14,1228,37,2024-10-04,0.02580531669126048
15,1484,48,2024-04-11,0.025432671927482935
16,554,36,2025-02-21,0.0660775159075116
17,503,17,2024-07-07,0.08401291962545296
18,566,29,2024-08-29,0.07922484355427939
19,812,47,2024-07-31,0.07690293611505765
20,498,5,2024-08-25,0.010125165768203584
21,101,21,2024-10-27,0.01930958800374947
22,1008,40,2024-11-06,0.07657810444027299
23,1337,16,2024-08-29,0.04849327201227138
24,1104,33,2024-11-17,0.018962272802429014
25,98,16,2024-10-16,0.08616744338213217
26,758,4,2025-03-17,0.08250723609072397
27,661,50,2024-10-05,0.034977554963368705
28,1467,5,2025-03-27,0.09768839450476469
29,737,45,2024-04-09,0.02987354061134237
30,24,17,2024-06-24,0.05368647764488012
31,40,19,2024-08-25,0.03627719183569408
32,1462,13,2024-11-01,0.037853177608918834
33,762,1,2024-11-03,0.02405189807059345
34,1355,16,2025-01-28,0.011366270941831237
35,665,11,2024-06-29,0.08723481839971509
36,431,21,2024-04-02,0.03381301996478796
37,1080,18,2024-04-11,0.053154779910035255
38,724,2,2024-07-18,0.09182797117814148
39,472,16,2024-10-28,0.09859051267821148
40,1380,8,2024-06-25,0.0924833319738361
41,37,25,2024-10-06,0.03941408360520469
42,1297,23,2024-12-22,0.09874428020398547
43,1153,41,2024-11-21,0.046606934473343554
44,924,32,2025-03-24,0.08495086613213039
45,284,49,2024-12-05,0.02490464070393135
46,153,6,2024-06-28,0.0781759683529972
47,114,25,2024-09-03,0.0722259885816138
48,4,12,2025-01-09,0.01588288202144372
49,1045,31,2024-06-28,0.02883491364502276
50,1005,3,2024-12-25,0.04073879930998972
51,1224,33,2025-02-22,0.020704675439204588
52,27,10,2024-05-01,0.051445800139193004
53,417,32,2025-01-23,0.012249332083183118
54,375,48,2024-08-12,0.06698478714364513
55,1490,37,2024-11-10,0.08344425673166635
56,392,5,2024-06-10,0.04242528312271277
57,1195,35,2025-01-16,0.05640308071801883
58,734,3,2024-05-27,0.03924345419114248
59,467,34,2025-01-28,0.09509188520329845
60,312,13,2024-12-31,0.0858296773938472
61,990,45,2024-11-17,0.0493485246165904
62,1341,47,2024-05-15,0.09154420675777665
63,887,8,2024-12-13,0.017687497721577534
64,1082,13,2024-12-07,0.05082029571013499
65,388,18,2024-06-05,0.01338400129270605
66,712,47,2024-10-05,0.08118660330667105
67,761,2,2025-03-30,0.04734050409668234
68,561,40,2024-04-23,0.014705239580475506
69,556,29,2024-08-27,0.055475309192811
70,308,48,2024-08-07,0.0443885527161059
71,878,38,2024-11-19,0.025031022837786684
72,60,25,2024-06-26,0.034492594798474226
73,339,47,2024-07-18,0.04950331745281542
74,905,20,2024-04-26,0.03550530112521484
75,587,49,2024-04-17,0.061463571560709356
76,352,39,2025-03-19,0.012979109034235183
77,725,12,2024-07-12,0.025778781578185243
78,1467,46,2024-04-20,0.07456590756357726
79,946,22,2024-08-25,0.07685655843720376
80,494,7,2025-01-14,0.08599423052856865
81,455,37,2025-03-30,0.08495969215809783
82,442,3,2024-12-23,0.011257646456276083
83,854,47,2024-05-27,0.03650105452470085
84,249,13,2024-11-11,0.04230254874641939
85,1345,43,2024-05-07,0.044407065412719354
86,28,28,2024-05-02,0.08991654888159656
87,105,35,2024-10-28,0.019953507425900876
88,662,21,2024-09-23,0.025912085770101206
89,1347,3,2024-06-06,0.07595677552832444
90,329,6,2024-05-20,0.050167777077723436
91,792,19,2024-10-17,0.07106322800308179
92,864,2,2024-05-31,0.07930918602807166
93,285,3,2024-07-19,0.08300749726447858
94,903,2,2024-10-04,0.0316945799197178
95,7,1,2024-05-19,0.06593342952994981
96,1417,8,2024-10-19,0.059504786758018464
97,1053,34,2024-06-14,0.01165480448502766
98,460,33,2024-04-08,0.08073435400293005
99,716,15,2024-05-04,0.08623604106517788
100,1459,43,2024-10-26,0.027055479976600856
101,819,21,2024-05-15,0.017055840345514592
102,1145,50,2024-09-21,0.02591224100755135
103,346,47,2024-12-27,0.07807275090997383
104,335,23,2024-11-13,0.029558471382742396
105,639,15,2025-01-26,0.019076374708777454
106,1320,20,2024-09-03,0.025883014870615208
107,908,1,2024-12-10,0.03974568567971183
108,321,12,2024-04-21,0.039050495071899345
109,1135,35,2025-02-24,0.031611464712450944
110,375,24,2025-02-16,0.01028405449019212
111,1115,31,2024-10-04,0.08625082844804081
112,1496,6,2024-08-08,0.06781065000129276
113,339,35,2024-12-19,0.08186513070976793
114,1149,48,2024-09-22,0.03442697564764876
115,168,10,2024-10-22,0.06541349873055703
116,494,17,2024-11-24,0.08483839139386129
117,1497,26,2025-01-09,0.024819998689943723
118,1439,2,2025-02-01,0.027726337240190496
119,1163,24,2025-02-19,0.03365516452016683
120,86,14,2025-01-08,0.07638692017506592
121,346,27,2024-10-20,0.049763426926484645
122,869,46,2024-12-11,0.04157353507101037
123,12,33,2024-07-07,0.07923089537836746
124,874,4,2025-02-18,0.04479165587135312
125,1117,19,2024-11-10,0.08047594923021693
126,1062,37,2024-10-03,0.06079132850788698
127,192,35,2025-03-14,0.012461267382579744
128,1035,8,2024-07-20,0.06571029787325812
129,74,20,2024-11-12,0.09877867048823405
130,1276,16,2024-11-25,0.06921793542530276
131,992,49,2024-09-22,0.06867352510481622
132,1124,41,2024-11-29,0.0707101392953165
133,109,10,2024-11-20,0.022027633937273743
134,313,11,2024-04-23,0.0754977495964541
135,390,23,2024-08-01,0.09637186358592818
136,1119,46,2024-06-02,0.06265184155444645
137,641,32,2025-03-28,0.053351871287235786
138,1437,13,2025-03-04,0.09092097192651533
139,1494,32,2024-05-23,0.04184929709016813
140,126,25,2024-05-12,0.0643127267451356
141,729,11,2024-10-08,0.08509485753415887
142,1119,46,2024-05-19,0.0864919707024242
143,1054,1,2024-05-13,0.05257810863630242
144,789,45,2024-07-18,0.01857084645860191
145,801,10,2024-10-30,0.08374260642026488
146,995,6,2025-02-26,0.05397526944236101
147,230,32,2024-09-06,0.07850848697239676
148,150,43,2025-02-02,0.013168388872718317
149,669,13,2024-08-09,0.06143477059459636
150,1356,3,2024-09-10,0.023532729722819824
151,484,3,2024-08-17,0.08396299194784697
152,1005,26,2024-10-18,0.08244227332362648
153,1481,48,2025-01-12,0.08825177169893546
154,1236,44,2024-05-07,0.05152501274175755
155,39,25,2024-11-01,0.020191791632971943
156,1003,32,2024-11-27,0.035802991811080785
157,423,29,2024-10-25,0.02135084212415001
158,720,25,2024-12-14,0.018171648111097942
159,1063,35,2024-05-10,0.08738007329650353
160,1452,7,2025-04-01,0.056603960983455735
161,1310,1,2025-03-13,0.057014648293610005
162,87,42,2024-04-04,0.07402240113822128
163,1375,41,2024-09-16,0.03460693136089189
164,1285,3,2024-04-30,0.013844304212359966
165,123,20,2024-10-09,0.06749855493608364
166,293,49,2024-06-22,0.06046315578299159
167,321,2,2024-12-02,0.021222754059267344
168,1454,40,2025-02-05,0.07142849318082119
169,546,29,2024-12-22,0.0443193896858973
170,711,21,2025-02-26,0.07223178182048742
171,568,41,2025-03-03,0.06770434390819038
172,239,23,2024-12-31,0.022160905978792455
173,517,31,2024-07-31,0.024667948046830965
174,1063,20,2024-09-05,0.08606463123336043
175,1122,43,2025-03-01,0.04303926575316367
176,1429,22,2024-07-04,0.018968229570594384
177,466,10,2024-05-07,0.09271271950919933
178,164,12,2024-09-06,0.08658806487926447
179,1149,5,2024-06-17,0.06211861634228295
180,1206,44,2025-02-16,0.01645829676269372
181,805,44,2024-05-07,0.048212641085613066
182,1088,24,2024-06-05,0.09304199162344959
183,1378,23,2024-11-18,0.09666613398364389
184,283,34,2024-09-27,0.022143256499449794
185,208,28,2024-08-21,0.02843958153261774
186,486,41,2025-02-18,0.029086579044216743
187,1003,34,2024-08-15,0.051541905019566174
188,1178,27,2024-09-22,0.08006887730437816
189,467,23,2025-02-12,0.08331322031250835
190,17,17,2024-06-09,0.07976563632152385
191,1180,15,2025-01-15,0.08758401457671314
192,1254,42,2025-03-03,0.0630779015830424
193,362,43,2025-01-18,0.05617490589812848
194,129,27,2024-09-08,0.035312762476440135
195,445,33,2024-05-11,0.05159177257734796
196,395,10,2024-09-10,0.04408459968698234
197,683,34,2024-11-18,0.04056287019074562
198,318,24,2024-07-28,0.046895552494025494
199,1244,40,2024-11-23,0.05662278587301654
200,503,15,2024-09-07,0.07401730258633102
201,961,3,2024-06-24,0.049626471156102574
202,73,42,2024-10-07,0.0219353098819911
203,1485,29,2025-03-21,0.016503485293665313
204,1097,1,2024-11-04,0.03647351528552226
205,799,15,2024-10-14,0.05010755883754613
206,608,34,2024-04-28,0.05032110308084251
207,589,44,2024-05-05,0.06716166119606483
208,523,40,2024-11-09,0.013797016101628267
209,1395,10,2025-02-20,0.0273942966194314
210,1300,22,2025-03-13,0.06469324432324143
211,12,1,2024-06-22,0.03857616926468243
212,736,37,2024-10-22,0.09228843165930933
213,1051,35,2025-02-26,0.08711347113066184
214,704,38,2024-12-24,0.03370067431630874
215,1400,44,2025-01-01,0.03650114159350427
216,1172,40,2024-11-16,0.09803404605164211
217,1081,14,2024-12-08,0.04806708841575071
218,1496,44,2024-11-12,0.051202535281696444
219,837,27,2025-03-11,0.021180062802275943
220,896,41,2024-11-14,0.05069508743286312
221,799,14,2024-04-21,0.060236470247517646
222,511,13,2024-08-31,0.010987661585200205
223,63,41,2024-10-23,0.0452015142188514
224,654,28,2024-06-04,0.07293085506528571
225,305,21,2024-12-27,0.03544575044475514
226,666,25,2024-04-19,0.07497766535035025
227,1443,8,2024-05-15,0.092208871659112
